section,word,note
kawaii,めんこい,東北で広く使われる。「愛らしい」の意味で、標準語の「可愛い」よりやわらかい響きになる
kawaii,めんそーれ,沖縄で人を迎えるときの言葉。空港や店先でも見かける
kawaii,はんなり,京都を中心に使われる。派手さではなく落ち着いた華やかさを指す
kawaii,なまら,北海道で「とても」の意味。強調の言葉なのに音がやわらかい
kawaii,たんげ,津軽で「とても」。短い音に力がこもる
kawaii,ときんときん,名古屋・岐阜で鉛筆などが尖っている様子。音を重ねる言い方が愛嬌になる
kawaii,ちみくる,名古屋・静岡で「つねる」。動作の割に音が軽い
kawaii,あんばよう,名古屋・岐阜で「うまい具合に」。挨拶のように使われる
kawaii,ばり,博多・山陽で「とても」。二文字で強調を作る
kawaii,わっぜ,鹿児島で「とても」。音が強く、鹿児島らしさが出る
omoshiroi,だちかん,名古屋で「だめだ」。「埒が明かん」が縮まった形
omoshiroi,おそがい,名古屋で「怖い」。標準語からは想像しにくい
omoshiroi,はぶてる,岡山で「むっとして怒る」。怒り方の種類まで指定している
omoshiroi,ごしゃぐ,宮城で「怒る」。受身形の「ごしゃがれる」でよく使う
omoshiroi,とんじゃかない,静岡で「気にしない」。長さの割に意味は軽い
omoshiroi,ねまる,富山で「座る」。休むという意味に転じる地域もある
omoshiroi,おぞい,岐阜・静岡で「粗末だ」「質が悪い」
omoshiroi,ぶち,広島・岡山・島根で「とても」。「ぶち面白い」のように使う
mystery,いずい,東北で「しっくりこない」。標準語に一語で訳せる言葉がない
mystery,よだきい,九州で「面倒くさい」「気が進まない」
mystery,せからしか,博多・九州で「うるさい」「わずらわしい」
mystery,たいぎい,島根・愛媛・高知で「面倒くさい」
mystery,わや,関西・名古屋で「台無し」「めちゃくちゃ」
mystery,しゃんしゃん,福岡で「武家の娘」。「様々」から来ている
mystery,あかん,関西で「だめだ」。近畿以外でも通じるほど広まった
mystery,おおきに,関西で「ありがとう」。もとは「大いに」で、後ろの言葉が省略された
falsefriend,こわい,標準語では「恐ろしい」だが、東北では「疲れた」、広島・名古屋では「（食べ物が）固い」
falsefriend,なおす,標準語では「修理する」だが、関西から九州では「片付ける」
falsefriend,ほかす,関西・兵庫・和歌山で「捨てる」。標準語には無い語
falsefriend,なげる,標準語では「投げる」だが、津軽・鹿児島では「捨てる」、広島では「置く」
falsefriend,かたす,関東で「片付ける」。西日本の「なおす」にあたる
falsefriend,うるかす,宮城・東北で「水に浸す」。米や食器について使う
falsefriend,あたる,富山・石川で「もらえる」。標準語の「当たる」とは違う
falsefriend,しゃっこい,神奈川で「冷たい」。「冷たい」の音が変化した形
falsefriend,したっけ,茨城・栃木・宮城で「そうしたら」。北海道では別れの挨拶にも使う
falsefriend,えらい,標準語では「立派だ」だが、関西・滋賀・播州・名古屋では「疲れた」「つらい」
falsefriend,しんどい,関西で「疲れた」「つらい」。今では全国に広まった
falsefriend,つる,岐阜で「机などを持ち上げて運ぶ」。標準語の「つる」とは別
falsefriend,ばくる,静岡で「壊れる」。北海道では「交換する」の意味になる
